repo,owner,owner_type,hit_patterns,stars,forks,watchers,commits,contributors,top_contributors,release_downloads,pypi_package,pypi_downloads_month,open_issues,pull_requests,disk_kb,language,license,created,pushed,is_archived,is_fork,is_mirror,homepage,topics,description,status,fetched_at,uses_sdv,integration,evidence,sdv_component,use_case,industry,kind,summary,authors,confidence,needs
josedab/clean,josedab,User,gc,0,0,0,81,1,josedab,0,clean-data-quality,,0,13,1077,Python,MIT,2026-01-31,2026-04-27,False,False,False,,,"Clean automatically detects the issues that make ML models fail. The saying ""garbage in, garbage out"" has never been more true—yet most data quality tools focus on data validation, not ML-specific issues. Clean fills this gap.",ok,2026-08-14,,,,,,,,,,,
josedab/genesis,josedab,User,ct|ev|gc|hma|md|mt|st,0,0,0,69,1,josedab,0,genesis-synth,,0,15,1462,Python,MIT,2026-01-31,2026-02-05,False,False,False,,,"Genesis is a comprehensive synthetic data generation platform that creates realistic, privacy-safe data for ML training, testing, and development.",ok,2026-08-14,,,,,,,,,,,
joseovalletecmx/mlops_tec,joseovalletecmx,User,req,0,0,1,61,7,joseovalletecmx|chavamartinez25|KevinDuenas|TLVSouma|RayanGarcia,0,,,0,3,27174,Jupyter Notebook,NOASSERTION,2024-10-07,2024-11-17,False,False,False,,,,ok,2026-08-14,,,,,,,,,,,
joshgivens/ClassificationwithAltLoss,joshgivens,User,ct,0,0,2,39,6,joshgivens|ettorefincato|lippirk|hsansford1|oijbaker,0,,,0,1,6658,Jupyter Notebook,NOASSERTION,2024-06-04,2024-06-20,False,False,False,,,Classfication with Alternative Losses for Focus Lab on Insurance,ok,2026-08-14,,,,,,,,,,,
joshhager603/ml-cs-1,joshhager603,User,req,0,0,1,33,3,Josh Hager|Calvin Cai|sking419,0,,,0,2,346,Python,,2024-03-27,2024-03-30,False,False,False,,,,ok,2026-08-14,,,,,,,,,,,
joshua-stock/regression-property-inference,joshua-stock,User,ct|md|req|st,0,0,1,3,1,joshua-stock,0,,,0,0,144616,Jupyter Notebook,,2025-03-15,2025-03-17,False,False,False,,,,ok,2026-08-14,,,,,,,,,,,
joumaaAli/fast_vault_titanic,joumaaAli,User,ct|gc|md|req|st,0,0,1,46,1,joumaaAli,0,,,0,3,4714,Python,,2024-08-23,2024-09-13,False,False,False,,,,ok,2026-08-14,,,,,,,,,,,
joyrizvan/Synthetic-Data-Using-GAN-and-VAE,joyrizvan,User,ct|md|req|st,0,0,1,7,1,joyrizvan,0,,,0,0,23936,Jupyter Notebook,,2025-04-14,2025-05-19,False,False,False,,,,ok,2026-08-14,,,,,,,,,,,
jplaulau14/mlops-python,jplaulau14,User,ct|ev|md|req|st,0,0,1,14,1,jplaulau14,0,,,0,0,153,Python,,2023-09-21,2026-01-04,False,False,False,,,,ok,2026-08-14,,,,,,,,,,,
jpress7639/microsoft-python,jpress7639,User,gc|md|st,0,0,0,34,1,jpress7639,0,,,0,0,26939,Python,,2026-06-12,2026-08-13,False,False,False,,,Python work for my Certification,ok,2026-08-14,,,,,,,,,,,
jtatman/ML-video-game-analysis-synthetic,jtatman,User,ct|gc|md|st,0,0,1,2,1,jtatman,0,,,0,0,14,Python,Apache-2.0,2024-08-26,2024-08-26,False,False,False,,analysis|classification-model|k-nearest-neighbours|ml|regression-analysis|sdv|sklearn,"A processing of a simplified video game dataset using k-nearest neighbors, and using Synthetic Data Vault and Regression/Classification models to verify synthetic model accuracy",ok,2026-08-14,,,,,,,,,,,
juanpedrovv/TWINKIDINKY,juanpedrovv,User,rdt,0,0,0,10,3,juanpedrovv|CS-DaviMagalhaes|SRC144,0,,,0,0,3890,Jupyter Notebook,,2025-06-26,2025-06-30,False,False,False,,,,ok,2026-08-14,,,,,,,,,,,
juanrtato/MLOps,juanrtato,User,req,0,0,1,17,4,Liobreaker1|juanrtato|Dr-Gerardo-RH|Ivanrs297,0,,,0,0,14308,Jupyter Notebook,,2024-10-19,2024-10-19,False,False,False,,,,ok,2026-08-14,,,,,,,,,,,
juhoUnibw/syn_data,juhoUnibw,User,ct|gc|md|st,0,0,1,86,1,juhoUnibw,0,,,0,0,456,Python,MIT,2024-11-07,2026-01-19,False,False,False,,,,ok,2026-08-14,,,,,,,,,,,
juliantemp/NRCan-StatCan-Utility-Research,juliantemp,User,par|sq,0,0,1,24,3,ben-santos|rafik-chemli|juliantemp,0,,,1,6,36863,Jupyter Notebook,MIT,2024-01-18,2024-03-27,False,False,False,,,,ok,2026-08-14,,,,,,,,,,,
junaid-pathan/inSilico,junaid-pathan,User,req,0,0,0,36,4,Rudra1729|tanish2007|junaid-pathan|ShyamDudhat,0,,,0,1,24498,Jupyter Notebook,,2026-04-18,2026-04-20,False,False,False,,,"inSilico is an end-to-end platform for generating, validating, and utilizing synthetic clinical patient data to enable fast, privacy-preserving in-silico clinical trial simulation.",ok,2026-08-14,,,,,,,,,,,
jvachier/Personality-classification,jvachier,User,ct|gc|md|st,0,0,0,81,1,jvachier,0,personality-classification,,0,10,6929,Python,Apache-2.0,2025-07-11,2025-11-30,False,False,False,,ensemble-methods|feature-engineering|model-optimization|personality-classification|production-ready,Six-Stack Personality Classification Pipeline is a production-ready machine learning system that predicts personality types using advanced ensemble methods and automated optimization.,ok,2026-08-14,,,,,,,,,,,
jxhlx/AlzheimerODE,jxhlx,User,ct|rdt,0,0,0,1,1,jxhlx,0,,,0,0,1551,Python,,2026-02-09,2026-06-20,False,False,False,,,,ok,2026-08-14,,,,,,,,,,,
kaarthikmohaan/stock-intelligence-pipeline,kaarthikmohaan,User,req,0,0,0,25,2,kaarthikmohaan|Karthik Mohan,0,,,0,0,4261,Python,,2026-03-18,2026-03-20,False,False,False,,,End-to-end stock market data pipeline with GenAI,ok,2026-08-14,,,,,,,,,,,
kai-pre/sales-ninja,kai-pre,User,ev|gc|md|st,0,0,0,66,2,kai-pre|Nishi098,0,salesninja,,0,6,2617,Jupyter Notebook,,2025-06-02,2025-06-20,False,False,False,,,"Repository for the Sales Ninja project team, Le Wagon Data Science & AI bootcamp, Batch #1998",ok,2026-08-14,,,,,,,,,,,
kalicharan-n/test,kalicharan-n,User,ev|hma|md|mt,0,0,1,12,2,kalicharan-n|Charan,0,,,0,0,78,,,2024-03-25,2024-11-27,False,False,False,,,,ok,2026-08-14,,,,,,,,,,,
kalyani-25/ClimaSense-Predictive-Modeling-of-Climate-Effects-on-Coffee-andCocoa-Quality-and-Yield,kalyani-25,User,req,0,0,1,7,1,kalyani-25,0,,,0,0,1727,,,2025-05-19,2025-06-12,False,False,False,,,,ok,2026-08-14,,,,,,,,,,,
kamilramadhan/fp-datmin,kamilramadhan,User,ct|md|st,0,0,0,3,1,feldaega17,0,,,0,0,148,Jupyter Notebook,,2025-12-09,2025-12-10,False,False,False,,,,ok,2026-08-14,,,,,,,,,,,
karen-gishyan/project,karen-gishyan,User,ev,0,0,1,198,1,karen-gishyan,0,,,0,1,28018,Python,,2022-08-12,2024-10-23,False,False,False,,,,ok,2026-08-14,,,,,,,,,,,
karenklw/focusfarm,karenklw,User,md|par|req|sq,0,0,1,17,2,Karen Wang|karenklw,0,,,0,0,14893,Python,,2023-09-25,2025-03-17,False,False,False,,,,ok,2026-08-14,,,,,,,,,,,
karltbraun/Weather_Sensors_and_Smartplugs_with_MQTT,karltbraun,User,req,0,0,1,93,2,karltbraun|Karl Braun,0,weather-sensors,,0,0,439,Python,,2024-11-23,2026-06-10,False,False,False,,,,ok,2026-08-14,,,,,,,,,,,
karolpj/asi_group1,karolpj,User,gc|md,0,0,1,28,5,kazkor|s22729|szymros|s22766|karolpj,0,,,0,1,520,Jupyter Notebook,,2023-10-03,2024-01-17,False,False,False,,,,ok,2026-08-14,,,,,,,,,,,
karunasunthar/SynGenX,karunasunthar,User,st,0,0,1,3,1,karunasunthar,0,,,0,0,15189,,,2025-02-06,2025-06-13,False,False,False,,,"The project, named ""SynGenX"", provides a robust and scalable solution for generating high-quality, privacy-compliant synthetic data. While requiring significant expertise and computational power, it offers immense value for AI-driven innovation.",ok,2026-08-14,,,,,,,,,,,
kbuchim/Ironhack-CostumerSupport-Assistance,kbuchim,User,req,0,0,1,17,1,kbuchim,0,,,0,0,779,Jupyter Notebook,GPL-3.0,2023-02-18,2023-04-20,False,False,False,,,Assistance to Customer Support  Department,ok,2026-08-14,,,,,,,,,,,
keshavv-dadhich/MITWPU-HACKATHON,keshavv-dadhich,User,req,0,0,0,12,2,keshavv-dadhich|Shivansh-22866,0,,,0,1,60914,Python,,2026-03-27,2026-03-28,False,False,False,,,,ok,2026-08-14,,,,,,,,,,,
kevinbalderas01/Masters-assignments,kevinbalderas01,User,req,0,0,1,19,1,kevinbalderas01,0,,,0,0,1881,Jupyter Notebook,,2023-09-25,2025-01-08,False,False,False,,,,ok,2026-08-14,,,,,,,,,,,
kgpgaurav/Modeling_tabular_data_using_CTGAN-novelties-_CS787,kgpgaurav,User,ct|sm,0,0,0,15,1,kgpgaurav,0,,,0,0,966,Python,,2025-11-14,2025-11-15,False,False,False,,,,ok,2026-08-14,,,,,,,,,,,
khp53/Credit-Card-Fraud-Detection-SecureBoost,khp53,User,ct|md|st,0,0,1,9,1,khp53,0,,,0,0,2434,Jupyter Notebook,,2024-11-24,2024-12-03,False,False,False,,,Credit card fraud detection model using Federated Learning (SecureBoost),ok,2026-08-14,,,,,,,,,,,
khyj0302/Additional-evaluation-Syn,khyj0302,User,md,0,0,0,5,1,khyj0302,0,,,0,0,132617,Python,,2025-05-31,2025-06-23,False,False,False,,,Additional Experiments for Doctoral Thesis,ok,2026-08-14,,,,,,,,,,,
kiyoja07/fullstack-gpt,kiyoja07,User,req,0,0,1,71,2,kiyoja07|김용재,0,,,0,0,1522,Jupyter Notebook,,2023-11-20,2025-11-14,False,False,False,,,FullStack-GPT Course of the Nomad Coders,ok,2026-08-14,,,,,,,,,,,
kmadorin/autodubs,kmadorin,User,req,0,0,1,2,1,kmadorin,0,,,0,0,14,Python,,2024-10-02,2024-10-10,False,False,False,,,,ok,2026-08-14,,,,,,,,,,,
kokonut123456/cloud,kokonut123456,User,gc|md|st,0,0,1,4,1,kokonut123456,0,,,0,0,308,Jupyter Notebook,,2024-03-20,2024-07-24,False,False,False,,,,ok,2026-08-14,,,,,,,,,,,
konstantin-kotochigov/knowledge,konstantin-kotochigov,User,ev|gc|st,0,0,1,152,4,konstantin-kotochigov|rkh|konstantin-kotochigov|Konstantin,0,,,0,1,278041,HTML,,2021-02-03,2026-08-01,False,False,False,,,,ok,2026-08-14,,,,,,,,,,,
koobot/hgl_synth_challenge,koobot,User,ct,0,0,2,33,5,koostall|jar31|joseph-chien|koobot|tennybaby,0,,,0,0,1240,Jupyter Notebook,,2022-01-31,2022-03-16,False,False,False,,,HGL Synthetic Challenge,ok,2026-08-14,,,,,,,,,,,
kpsingh99/CS787-Project-Modeling-tabular-data-using-CTGAN-,kpsingh99,User,rdt,0,0,0,444,24,csala|amontanez24|fealho|sdv-team|pvk-developer,0,,,0,1,2006,Python,,2025-11-06,2025-11-14,False,False,False,,,,ok,2026-08-14,,,,,,,,,,,
krishnamohan-seelam/houseprice-pyspark,krishnamohan-seelam,User,ev|req,0,0,1,3,1,krishnamohan-seelam,0,,,0,0,2960,Jupyter Notebook,,2023-02-25,2023-02-25,False,False,False,,,HousePrice prediction using pyspark and docker,ok,2026-08-14,,,,,,,,,,,
kristian10007/NextConvGeN,kristian10007,User,ct,0,0,1,17,2,KristianSchultz|Kristian Schultz,0,,,0,0,3914,Python,,2023-04-17,2024-03-01,False,False,False,,,,ok,2026-08-14,,,,,,,,,,,
kritikamandale/Plasticrete_ai,kritikamandale,User,ct|md|st,0,0,0,3,2,plasticrete-bot|kritikamandale,0,,,0,0,3709,Python,,2026-07-14,2026-07-29,False,False,False,,,,ok,2026-08-14,,,,,,,,,,,
krylowicz/synthetic-data,krylowicz,User,ct,0,0,1,14,4,dbomberger|LucR31|krylowicz|NB-01,0,,,0,0,12002,Jupyter Notebook,,2022-01-28,2022-04-04,False,False,False,,,,ok,2026-08-14,,,,,,,,,,,
kuennethgroup/ml_in_ms_st26,kuennethgroup,Organization,md,0,0,0,20,1,kuelumbus,0,ml-in-ms-st26,,0,0,13484,Jupyter Notebook,,2026-04-13,2026-07-06,False,False,False,,,,ok,2026-08-14,,,,,,,,,,,
kumarswamyg2005/SynthLab,kumarswamyg2005,User,ct|gc|md|req|st,0,0,0,8,1,kumarswamyg2005,0,,,0,0,118,Python,,2026-06-05,2026-06-05,False,False,False,,,,ok,2026-08-14,,,,,,,,,,,
kvktran2812/kaggle_cibmtr,kvktran2812,User,ct|md|st,0,0,1,10,1,kvktran2812,0,,,0,0,3133,Jupyter Notebook,,2024-12-10,2024-12-15,False,False,False,,,,ok,2026-08-14,,,,,,,,,,,
laibah-iqbal/uber-dashboard-pipeline,laibah-iqbal,User,gc|st,0,0,1,34,1,laibah-iqbal,0,,,0,0,27276,Python,,2023-10-24,2023-10-29,False,False,False,,,End-to-end ETL pipeline utilizing tools popular in modern data stacks.,ok,2026-08-14,,,,,,,,,,,
lakritidis/ctdGAN,lakritidis,User,rdt,0,0,1,23,2,lakritidis|leo,0,ctdGAN,,0,0,241,Python,NOASSERTION,2024-12-17,2026-06-14,False,False,False,,,A Generative Adversarial Network for synthesizing artificial tabular data,ok,2026-08-14,,,,,,,,,,,
lakshanrathnayake/CppParserPtidejDemo,lakshanrathnayake,User,sm,0,0,0,22,2,Codex|Rosari1234,0,,,0,0,669223,Java,GPL-2.0,2025-11-16,2026-04-10,False,False,False,,,,ok,2026-08-14,,,,,,,,,,,
lalith996/Agrotech-Plus-Clean,lalith996,User,req,0,0,0,32,1,lalith996,0,,,0,137,10916,TypeScript,,2025-10-28,2026-08-14,False,False,False,https://agrotechplusfinal.vercel.app,,"AgroTech+ Agricultural Platform - Clean version without external API dependencies (SendGrid, Twilio, AWS, Google Maps removed)",ok,2026-08-14,,,,,,,,,,,
laurajochim/MasterThesis,laurajochim,User,ct,0,0,1,39,1,laurajochim,0,,,0,0,38576,R,GPL-3.0,2025-05-10,2025-05-19,False,False,False,,,Master Thesis,ok,2026-08-14,,,,,,,,,,,
layalsaad/Mental-health-questionnaire-analysis,layalsaad,User,ct|md|req|st,0,0,1,7,1,layalsaad,0,,,0,0,1667,Jupyter Notebook,,2025-04-07,2025-04-14,False,False,False,,,"This project analyzes the mental health of Lebanese children aged 8–10 before and after the 2024 war using questionnaire data. I combined SPSS for statistical analysis with Python for factor analysis, feature engineering, and predictive modeling. This project aimed to understand and predict the psychological impact of conflict on young minds.",ok,2026-08-14,,,,,,,,,,,
lazymonarch/privacy-preserving_synthetic_data_generation,lazymonarch,User,ct|md|st,0,0,0,1,1,lazymonarch,0,,,0,0,1834,Jupyter Notebook,,2026-05-14,2026-05-14,False,False,False,,,,ok,2026-08-14,,,,,,,,,,,
lea-m-hadzic/aperture,lea-m-hadzic,User,ct|gc|md|st,0,0,0,145,6,lea-m-hadzic|marcreniel|mstojkov2024|shanisu|thisisjoell,0,,,0,6,7528,Python,MIT,2026-06-14,2026-06-19,False,False,False,,enterprise-ai|synthetic-data-generation|synthetic-data-validation,"Senior project, Spr 2026.",ok,2026-08-14,,,,,,,,,,,
leeh8911/paul-moed,leeh8911,User,req,0,0,1,14,1,leeh8911,0,,,0,0,825,Python,NOASSERTION,2024-11-10,2024-11-20,False,False,False,,,,ok,2026-08-14,,,,,,,,,,,
leo-bianconi/nmdal-project,leo-bianconi,User,ct|md|st,0,0,1,1,1,leo-bianconi,0,,,0,0,18555,Jupyter Notebook,,2024-07-04,2024-07-04,False,False,False,,,,ok,2026-08-14,,,,,,,,,,,
lequ02/TabularDA,lequ02,User,ct|md|st,0,0,1,314,7,lequ02|QMjnh|thuydt02|khanji0|dahalsabina,0,,,0,0,2436373,Jupyter Notebook,,2024-06-17,2025-03-10,False,False,False,,,Synthesis methods for structured data,ok,2026-08-14,,,,,,,,,,,
lesleychou/VAE_DP,lesleychou,User,ev|rdt|req,0,0,1,54,8,danjscho|JRPearson500|lesleychou|DaveBrind|dependabot[bot],0,,,0,0,2158,Jupyter Notebook,MIT,2023-02-16,2023-05-16,False,False,False,,,,ok,2026-08-14,,,,,,,,,,,
levi-akkaman/synthetic_data_generation,levi-akkaman,User,ct|ev|md|st,0,0,1,34,1,levi-akkaman,0,,,0,0,18174,Jupyter Notebook,Unlicense,2025-03-12,2025-04-15,False,False,False,,,generation of synthetic data with preservation of associative links from real data,ok,2026-08-14,,,,,,,,,,,
lewisia02/competition,lewisia02,User,ct|ev|md|st,0,0,1,3,1,lewisia02,0,,,0,0,7922,Jupyter Notebook,,2024-09-01,2024-09-04,False,False,False,,,,ok,2026-08-14,,,,,,,,,,,
lhbaiye/DTFuzz,lhbaiye,User,rdt,0,0,1,3,1,lhbaiye,0,,,0,0,26484,Python,,2024-12-18,2025-02-14,False,False,False,,,,ok,2026-08-14,,,,,,,,,,,
li-ruijie/synthetic-inference,li-ruijie,User,ct|gc|md|st,0,0,0,1,1,li-ruijie,0,,,0,0,916,R,AGPL-3.0,2026-07-21,2026-08-07,False,False,False,,data-privacy|differential-privacy|generalized-linear-models|inferential-fidelity|membership-inference|python|r|replication-materials|reproducible-research|statistical-disclosure-control|statistics|synthetic-data,Replication code for the synthetic-data inferential-fidelity paper,ok,2026-08-14,,,,,,,,,,,
li003454/5541-NLP-PROJECT,li003454,User,ct|rdt,0,1,0,24,6,Tyler Chan|GlitchnMoe|TylorChan|NVP12|Tyler Chan,0,,,0,2,394717,Jupyter Notebook,MIT,2025-11-13,2025-12-13,False,False,False,,,,ok,2026-08-14,,,,,,,,,,,
liliquan0118/GRFT,liliquan0118,User,ct|rdt,0,0,1,12,1,liliquan0118,0,,,0,0,91107,Python,,2024-08-12,2024-10-11,False,False,False,,,Dissecting Global Search: A Simple Yet Effective Method to Boost Individual Discrimination Testing and Repair,ok,2026-08-14,,,,,,,,,,,
lily01awasthi/CATE_Estimation_using_Meta_Learners,lily01awasthi,User,req,0,0,1,51,1,lily01awasthi,0,,,0,0,42480,Jupyter Notebook,,2024-06-16,2025-01-14,False,False,False,,,"Applying meta-learner models (T, S, X, R-learners) to estimate CATE in educational interventions. Project aims to analyze treatment effects using machine learning models.",ok,2026-08-14,,,,,,,,,,,
linusms/Dacon,linusms,User,ct|ev|md|st,0,0,1,45,1,linusms,0,,,0,0,19509,Jupyter Notebook,,2023-11-21,2024-09-06,False,False,False,,,Dacon 도전&입상 기록,ok,2026-08-14,,,,,,,,,,,
linxiaotutututu1123/linxiaotu,linxiaotutututu1123,User,ev|hma|md|mt,0,0,0,77,2,linxiaotutututu1123|Copilot,0,,,1,18,351159,Python,,2025-12-10,2025-12-13,False,False,False,,,,ok,2026-08-14,,,,,,,,,,,
liu906/SpeedUpSlowTest,liu906,User,ct|gc|hma|par,0,0,0,70,1,liu906,0,,,0,0,31987,Shell,,2025-09-21,2026-02-17,False,False,False,,,,ok,2026-08-14,,,,,,,,,,,
liuzijunnn-ops/footballLLM,liuzijunnn-ops,User,ct|md|st,0,0,0,1,1,liuzijunnn-ops,0,,,0,0,3531,Python,,2026-05-08,2026-05-08,False,False,False,,,,ok,2026-08-14,,,,,,,,,,,
ljn16/Spinal-Column-Orientation,ljn16,User,req,0,0,1,1,1,ljn16,0,,,0,0,6429,Python,,2025-03-06,2025-03-06,False,False,False,,,This app shows,ok,2026-08-14,,,,,,,,,,,
lmannocci/RAG-Enhanced-LLMs-for-Interactive-Explainability-in-Clinical-Decision-Support-Systems,lmannocci,User,ct|st,0,0,0,4,1,lmannocci,0,,,0,0,148,Python,,2026-03-02,2026-03-02,False,False,False,,,,ok,2026-08-14,,,,,,,,,,,
lmaomkar/ml-tabular-augmentation,lmaomkar,User,ct|md|st,0,0,0,4,1,sakhare-omkar,0,,,0,0,19,Jupyter Notebook,,2025-07-05,2025-07-06,False,False,False,,,Experiments on data augmentation for small tabular dataset,ok,2026-08-14,,,,,,,,,,,
lorenzoamabili/ds_manual,lorenzoamabili,User,gc,0,0,0,14,1,lorenzoamabili,0,dsmanual,,0,0,1740,Python,MIT,2026-07-01,2026-07-03,False,False,False,,,,ok,2026-08-14,,,,,,,,,,,
losadgm/mystic-forge,losadgm,User,md|st,0,0,0,8,1,losadgm,0,mystic-forge,,0,0,6789,Python,MIT,2026-04-10,2026-04-12,False,False,False,,,Synthetic trading card data generation experiments in Python.,ok,2026-08-14,,,,,,,,,,,
louishorlaville/PFE001-PCM,louishorlaville,User,ct|ev|md|req|st,0,0,0,20,1,louishorlaville,0,,,0,2,3631,Python,,2025-07-14,2025-08-18,False,False,False,,,,ok,2026-08-14,,,,,,,,,,,
louiskeep/decoy-engine,louiskeep,User,gc,0,0,0,1451,5,socksforthedog|ckeeperman-telligen|louiskeep|claude|dependabot[bot],0,decoy-engine,,0,119,51600,Python,Apache-2.0,2026-05-04,2026-08-03,False,False,False,,,"Python library. Does the actual data work. (Public, BUSL)",ok,2026-08-14,,,,,,,,,,,
lucacorbucci/fire360,lucacorbucci,User,ct|md|st,0,0,1,139,1,lucacorbucci,0,fire360,,0,0,7975,Jupyter Notebook,,2024-11-06,2025-09-24,False,False,False,https://heroic-dasik-a43ca2.netlify.app/,ai|explainable,A comprehensive and fast local explanation approach tailored for tabular data.,ok,2026-08-14,,,,,,,,,,,
lucaplian/synthetiser-project,lucaplian,User,gc,0,0,0,5,1,lucaplian,0,,,0,0,2134,Jupyter Notebook,,2026-07-28,2026-08-10,False,False,False,,,,ok,2026-08-14,,,,,,,,,,,
luiscopete/CTGAN-Data-Privacy-Kaggle,luiscopete,User,ct|ev|md|req|st,0,0,0,7,1,luiscopete,0,,,0,1,3098,Jupyter Notebook,,2025-12-01,2025-12-01,False,False,False,,,Training a model to generate synthetic customer data using Conditional Tabular GANs (CTGAN),ok,2026-08-14,,,,,,,,,,,
luiscxz/To_linkedIn,luiscxz,User,ev|md,0,0,1,37,1,luiscxz,0,,,0,0,38258,Jupyter Notebook,,2025-04-15,2025-10-30,False,False,False,,,,ok,2026-08-14,,,,,,,,,,,
luismanriqueruiz/machine_learning,luismanriqueruiz,User,ev|gc|par|sq|st,0,0,1,78,1,luismanriqueruiz,0,,,0,20,31967,Jupyter Notebook,,2021-01-29,2026-01-04,False,False,False,,,,ok,2026-08-14,,,,,,,,,,,
lukaskocian/rl-financial-infrastructure,lukaskocian,User,req,0,0,0,74,2,george-adams1|lukaskocian,0,,,0,0,4535,Jupyter Notebook,,2026-03-16,2026-03-16,False,False,False,,,,ok,2026-08-14,,,,,,,,,,,
lurosenb/sq_supplementary_materials,lurosenb,User,sm,0,0,1,2,1,lurosenb,0,,,0,0,322,Jupyter Notebook,,2022-02-14,2022-02-16,False,False,False,,,Results from experiments conducted on SuperQUAIL method.,ok,2026-08-14,,,,,,,,,,,
lxuanhui/SDG_model_exploration,lxuanhui,User,ct|ev|md|st,0,0,1,10,1,lxuanhui,0,,,0,0,3422,Jupyter Notebook,MIT,2023-06-20,2023-06-21,False,False,False,,,,ok,2026-08-14,,,,,,,,,,,
ly2xxx/mcp,ly2xxx,User,ev|hma|md|mt,0,0,1,60,1,ly2xxx,0,,,0,0,8698,HTML,,2025-03-25,2026-06-30,False,False,False,,,mcp poc,ok,2026-08-14,,,,,,,,,,,
made-ml-in-prod-2021/ngc436,made-ml-in-prod-2021,Organization,req,0,0,1,41,1,ngc436,0,,,0,5,3333,Jupyter Notebook,,2021-03-31,2021-06-27,False,False,False,,,,ok,2026-08-14,,,,,,,,,,,
made-mlops-2022/alexey_smirnov,made-mlops-2022,Organization,req,0,0,1,76,1,dqdp,0,,,0,2,225,Jupyter Notebook,,2022-11-01,2022-11-27,False,False,False,,,,ok,2026-08-14,,,,,,,,,,,
magicalaurapanama/Mental_Health_Application,magicalaurapanama,User,ct|ev|md|req|st,0,0,0,3,1,magicalaurapanama,0,,,0,0,22999,JavaScript,,2025-11-24,2025-11-24,False,False,False,,,,ok,2026-08-14,,,,,,,,,,,
maheshnexusr/frontend-nexus,maheshnexusr,User,req,0,0,0,97,4,maheshnexusr|root|nexussurendra|susmithanexus,0,,,0,42,5782,JavaScript,,2026-03-26,2026-07-22,False,False,False,,,,ok,2026-08-14,,,,,,,,,,,
mahparsa/AI-4-Dementia,mahparsa,User,md|st,0,0,1,26,1,mahparsa,0,,,0,0,485,Jupyter Notebook,MIT,2022-08-03,2024-10-01,False,False,False,,,,ok,2026-08-14,,,,,,,,,,,
maitreya-ai/Synthesise.io,maitreya-ai,User,ct|gc|md|req|st,0,0,0,2,1,maitreya-ai,0,,,0,0,6462,Python,MIT,2025-12-30,2026-07-13,False,False,False,,ai|fastapi|nextjs|saas|synthetic-data,"Synthesize.io — AI-powered synthetic data generation platform (Next.js web + admin + FastAPI/Celery API). Archived, MIT.",ok,2026-08-14,,,,,,,,,,,
maliksaunders/Synthetic_data_generation_of_personality_predictors,maliksaunders,User,ct|gc,0,0,1,6,1,maliksaunders,0,,,0,0,8274,Jupyter Notebook,,2024-08-22,2025-11-24,False,False,False,,,Use a GAN (Generative Adversarial Network) with PyTorch to generate synthetic data from a high-dimensional (>100 predictors) dataset for Personality Types/Characteristics,ok,2026-08-14,,,,,,,,,,,
mamadoujuniorsy/deep_learning_master2,mamadoujuniorsy,User,ct|md|st,0,0,0,4,1,mamadoujuniorsy,0,,,0,0,16,Jupyter Notebook,,2026-04-10,2026-04-10,False,False,False,,,,ok,2026-08-14,,,,,,,,,,,
manangrg/Alzheimer_detection,manangrg,User,ct|ev|md|st,0,0,0,6,1,manangrg,0,,,0,0,10110,Jupyter Notebook,,2026-08-03,2026-08-04,False,False,False,,,,ok,2026-08-14,,,,,,,,,,,
manisci/EHAPI,manisci,User,req,0,0,1,14,2,Mani Sotoodeh|manisci,0,,,0,0,40,Python,,2022-04-18,2022-12-14,False,False,False,,,Standardized HAPI,ok,2026-08-14,,,,,,,,,,,
manju07/learning-ml-ai,manju07,User,ct|ev|gc|md|st,0,0,1,25,2,masundi1|manju07,0,,,0,0,53478,Jupyter Notebook,,2024-11-26,2026-03-25,False,False,False,,,learning machine learning and artificial intelligence.,ok,2026-08-14,,,,,,,,,,,
marcinjedrych/Thesis-SD,marcinjedrych,User,ct|md|st,0,0,1,52,1,marcinjedrych,0,,,0,0,119397,Python,,2025-03-02,2025-08-25,False,False,False,,,This is a repository for my thesis in statistical data-analysis. I will investigate strategies to handle missing data in synthetic data generation,ok,2026-08-14,,,,,,,,,,,
marianaguiomar/fpsmote_thesis,marianaguiomar,User,req,0,0,0,2,1,marianaguiomar,0,,,0,0,77,Python,,2026-07-06,2026-07-27,False,False,False,,,,ok,2026-08-14,,,,,,,,,,,
maritriv/TFG-Donacion-Renal-ml-web,maritriv,User,ct|md|st,0,0,0,41,1,maritriv,0,renal-dcd-ml-web,,0,0,16115,Python,,2026-03-08,2026-05-20,False,False,False,,,Modelado y página web para la predicción de donantes renales.,ok,2026-08-14,,,,,,,,,,,
marquito3012/TFM,marquito3012,User,ct|md|st,0,0,0,50,1,marquito3012,0,,,0,0,110979,Jupyter Notebook,,2026-03-16,2026-07-13,False,False,False,,ctgan|data-privacy|generative-ai|machine-learing|tabular-data|tfm|sinthetic-data,"Framework de IA Generativa para la creación de datos tabulares sintéticos en sectores con datos sensibles. Implementación de modelos (CTGAN, TVAE, Tabular Diffusion) para equilibrar la utilidad estadística (ML) y la privacidad normativa (GDPR).",ok,2026-08-14,,,,,,,,,,,
massivebird/cosc411-group-3,massivebird,User,ct|ev|gc|md|sm|st,0,0,1,32,4,massivebird|jvangelo|YousefAbusabha|harleen-khattra,0,,,0,0,689,Jupyter Notebook,,2025-01-09,2025-04-01,False,False,False,,,,ok,2026-08-14,,,,,,,,,,,
